Title,Genre,Release Year,Rating
1. Lioness,action,2023–,7.7
2. Venom: The Last Dance,action,2024,6.2
3. Agatha All Along,action,2024,7.3
4. Gladiator II,action,2024,7.1
5. Outer Banks,action,2020–,7.5
6. Red One,action,2024,6.9
7. Apocalypse Z: The Beginning of the End,action,2024,6.1
8. Game of Thrones,action,2011–2019,9.2
9. Arcane,action,2021–2024,9.0
10. Deadpool & Wolverine,action,2024,7.7
11. Star Wars: Skeleton Crew,action,2024–2025,
12. Citadel: Honey Bunny,action,2024–,6.3
13. The Rookie,action,2018–,8.0
14. The Old Man,action,2022–,7.6
15. Singham Again,action,2024,6.5
16. Dune: Prophecy,action,2024–,7.9
17. The Lord of the Rings: The Rings of Power,action,2022–,6.9
18. Gladiator,action,2000,8.5
19. NCIS,action,2003–,7.8
20. Prison Break,action,2005–2017,8.3
21. The Batman,action,2022,7.8
22. The Count of Monte-Cristo,action,2024,7.8
23. Transformers One,action,2024,7.7
24. 9-1-1,action,2018–,7.9
25. The Boys,action,2019–,8.7
26. Civil War,action,2024,7.0
27. Squid Game,action,2021–2025,8.0
28. Twisters,action,2024,6.6
29. Attack on Titan,action,2013–2023,9.1
30. Superman & Lois,action,2021–2024,7.7
31. Paris Has Fallen,action,2024–,6.6
32. House of the Dragon,action,2022–,8.3
33. Canary Black,action,2024,5.3
34. The Last of Us,action,2023–,8.7
35. Venom,action,2018,6.6
36. Bleach: Thousand-Year Blood War,action,2022–,9.0
37. Fallout,action,2024–,8.4
38. Brothers,action,2024,5.4
39. One Piece,action,1999–,9.0
40. Dandadan,action,2024–,8.7
41. Venom: Let There Be Carnage,action,2021,5.9
42. Chicago P.D.,action,2014–,8.1
43. Dune: Part Two,action,2024,8.5
44. Chicago Fire,action,2012–,8.0
45. Vikings,action,2013–2020,8.5
46. Borderlands,action,2024,4.6
47. The Ministry of Ungentlemanly Warfare,action,2024,6.8
48. Reacher,action,2022–,8.0
49. Dragon Age: The Veilguard,action,2024,5.8
50. Predestination,action,2014,7.4
51. V for Vendetta,action,2005,8.1
52. S.W.A.T.,action,2017–,7.2
53. The Legend of Vox Machina,action,2022–,8.4
54. Buffy the Vampire Slayer,action,1997–2003,8.3
55. Furiosa: A Mad Max Saga,action,2024,7.5
56. Nautilus,action,2024–,6.6
57. The Dark Knight,action,2008,9.0
58. The Lord of the Rings: The Fellowship of the Ring,action,2001,8.9
59. Cobra Kai,action,2018–2025,8.4
60. Demon Slayer: Kimetsu no Yaiba,action,2019–,8.6
61. Blitz,action,2024,6.7
62. Absolution,action,2024,5.3
63. Amaran,action,2024,8.5
64. The Gentlemen,action,2024–2026,8.0
65. 9-1-1: Lone Star,action,2020–,7.3
66. The Witcher,action,2019–,8.0
67. The Lord of the Rings: The War of the Rohirrim,action,2024,
68. The Fall Guy,action,2024,6.9
69. Kraven the Hunter,action,2024,
70. Banshee,action,2013–2016,8.4
71. SEAL Team,action,2017–2024,7.8
72. Band of Brothers,action,2001,9.4
73. Rebel Ridge,action,2024,6.8
74. Person of Interest,action,2011–2016,8.5
75. Inception,action,2010,8.8
76. Vettaiyan,action,2024,7.6
